"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",M00PPN01,LANGUE AMAZIGHE (P.E.P) -- pour bacheliers EL MGHAIER,--,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",M00PPN01,LANGUE AMAZIGHE (P.E.P) -- pour bacheliers EL MENIAA,--,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers SETIF",15.26,15.99,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers SETIF,15.93,16.76,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers SETIF,15.29,16.03,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers SETIF,16.00,16.88,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers BEJAIA,14.86,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers JIJEL,16.63,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers SETIF,16.15,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers MSILA,16.45,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersB.B.ARRERIDJ",17.08,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers MILA,16.36,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers BEJAIA,15.34,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers JIJEL,17.24,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers SETIF,16.50,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers MSILA,16.67,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,"SCIENCES NATURELLES (P.E.S) -- pour bacheliersB.B.ARRERIDJ",17.32,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers MILA,17.39,nan,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers BEJAIA,14.45,14.92,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers JIJEL,14.87,15.81,nan
E42,ECOLE NORMALE SUPERIEURE DE SETIF,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers SETIF,15.43,--,nan
