"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C27,UNIV. BOUMERDES,C03FPN01,"MATHEMATIQUES APPLIQUEES (FORMATIONSPROFESSIONNALISANTES)",12.31,12.93,nan
C27,UNIV. BOUMERDES,D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,11.59,12.96,nan
C27,UNIV. BOUMERDES,D03TCL01,SCIENCES AGRONOMIQUES,10.03,10.00,nan
C27,UNIV. BOUMERDES,F00LAL04,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.71,11.77
C27,UNIV. BOUMERDES,G01LAL01,SCIENCES POLITIQUES,10.0,10.03,10.36
C27,UNIV. BOUMERDES,G02LAL01,DROIT,10.0,10.00,10.45
C27,UNIV. BOUMERDES,H01LAL01,LANGUE FRANCAISE,11.69,12.44,13.31
C27,UNIV. BOUMERDES,H06LAL01,LANGUE ANGLAISE,12.91,13.79,14.72
C27,UNIV. BOUMERDES,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",11.18,nan,nan
C27,UNIV. BOUMERDES,L00LAL02,LANGUE ET LITTERATURE ARABES,10.07,10.88,nan
W80,UNIV. BOUMERDES I.S.T.A,A11TPN03,"OPTIQUE ET MECANIQUE DE PRECISION (FORMATIONSPROFESSIONNALISANTES)",14.05,14.70,nan
Z45,CENTRE DE FORMATION CONTINUE ELTARF,F00FCL01,"SCIENCES ECONOMIQUES DE GESTION ET SCIENCESCOMMERCIALES (FORMATION CONTINUE)",10.71,10.75,10.12
Z45,CENTRE DE FORMATION CONTINUE ELTARF,G02FCL01,DROIT (FORMATION CONTINUE),10.67,10.19,--
Z45,CENTRE DE FORMATION CONTINUE ELTARF,I03FCL01,"SCIENCES HUMAINES ET SOCIALES SCIENCES DE LINFORMATION ET DE LA COMMUNICATION (FORMATIONCONTINUE)",10.02,--,nan
E02,UNIV. EL TARF,A00LAL03,SCIENCES ET TECHNOLOGIES,10.0,nan,nan
E02,UNIV. EL TARF,B00LAL02,SCIENCES DE LA MATIERE,10.16,nan,nan
E02,UNIV. EL TARF,C01LAL03,INFORMATIQUE,12.59,10.04,nan
E02,UNIV. EL TARF,C02LAL03,MATHEMATIQUES,11.33,10.08,nan
E02,UNIV. EL TARF,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,10.08,10.74,nan
E02,UNIV. EL TARF,D03TCL01,SCIENCES AGRONOMIQUES,10.15,10.09,nan
