"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
E13,UNIV. BISKRA,H06LAL01,LANGUE ANGLAISE,11.0,11.0,11.02
E13,UNIV. BISKRA,I17LAL01,SCIENCES HUMAINES,10.0,10.05,nan
E13,UNIV. BISKRA,I19LAL01,SCIENCES SOCIALES,10.81,11.61,nan
E13,UNIV. BISKRA,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.0,nan,nan
E13,UNIV. BISKRA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.04,nan
E13,UNIV. BISKRA,N01LAL01,GESTION DES TECHNIQUES URBAINES,10.01,nan,nan
E13,UNIV. BISKRA,N02FPN03,"MANAGEMENT DES PROJETS DE CONSTRUCTION(FORMATIONS PROFESSIONNALISANTES)",10.0,nan,nan
E13,UNIV. BISKRA,N05IAL01,ARCHITECTURE,11.8,nan,nan
E13,UNIV. BISKRA,P04VAL01,SCIENCES VETERINAIRES,10.5,10.52,nan
Z16,CENTRE DE FORMATION CONTINUE BECHAR,F00FCL01,"SCIENCES ECONOMIQUES DE GESTION ET SCIENCESCOMMERCIALES (FORMATION CONTINUE)",11.01,10.13,10.00
Z16,CENTRE DE FORMATION CONTINUE BECHAR,G02FCL01,DROIT (FORMATION CONTINUE),10.48,10.8,--
Z16,CENTRE DE FORMATION CONTINUE BECHAR,I03FCL01,"SCIENCES HUMAINES ET SOCIALES SCIENCES DE LINFORMATION ET DE LA COMMUNICATION (FORMATIONCONTINUE)",10.07,10.87,nan
U11,UNIV. BECHAR,A00LAL01,SCIENCES ET TECHNOLOGIES,10.0,nan,nan
U11,UNIV. BECHAR,A00TCL03,SCIENCES ET TECHNOLOGIES,11.0,nan,nan
U11,UNIV. BECHAR,A05TCL01,GENIE CIVIL,10.29,nan,nan
U11,UNIV. BECHAR,A08TCL01,GENIE DES PROCEDES,10.21,nan,nan
U11,UNIV. BECHAR,A16TCL01,ELECTROTECHNIQUE,10.28,nan,nan
U11,UNIV. BECHAR,A19TCL01,GENIE MECANIQUE,11.2,nan,nan
U11,UNIV. BECHAR,B00LAL01,SCIENCES DE LA MATIERE,10.0,nan,nan
U11,UNIV. BECHAR,C01LAL01,INFORMATIQUE,10.65,11.08,nan
U11,UNIV. BECHAR,C01TCL03,INFORMATIQUE,11.25,12.03,nan
