"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersOUARGLA",--,15.52,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersEL OUED",14.70,15.53,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersTOUGGOURT",14.20,14.30,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersEL MGHAIER",--,--,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers OUARGLA,13.40,13.21,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL OUED,15.35,16.19,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers GHARDAIA,13.12,13.81,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers TOUGGOURT,13.79,--,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL MGHAIER,13.55,13.37,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL MENIAA,--,13.39,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,"LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliersOUARGLA",14.01,14.02,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,"LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliersEL OUED",15.26,16.05,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,"LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliersTOUGGOURT",14.04,14.75,nan
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,"LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliersEL MGHAIER",14.00,14.88,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers TLEMCEN",14.83,15.37,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers MOSTAGANEM",15.28,--,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers ORAN",15.02,15.74,nan
