"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
E16,UNIV. SKIKDA,C01LAL03,INFORMATIQUE,11.12,11.63,nan
E16,UNIV. SKIKDA,C02LAL03,MATHEMATIQUES,11.03,10.2,nan
E16,UNIV. SKIKDA,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,10.01,10.1,nan
E16,UNIV. SKIKDA,D03TCL01,SCIENCES AGRONOMIQUES,10.37,10.07,nan
E16,UNIV. SKIKDA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.0,10.00
E16,UNIV. SKIKDA,G01LAL02,SCIENCES POLITIQUES,10.0,10.18,--
E16,UNIV. SKIKDA,G02LAL01,DROIT,10.0,10.01,10.80
E16,UNIV. SKIKDA,H01LAL02,LANGUE FRANCAISE,11.0,11.02,11.03
E16,UNIV. SKIKDA,H04LAL01,LANGUE ALLEMANDE,12.71,14.11,14.54
E16,UNIV. SKIKDA,H06LAL02,LANGUE ANGLAISE,11.54,12.35,13.16
E16,UNIV. SKIKDA,I17LAL01,SCIENCES HUMAINES,10.33,11.2,nan
E16,UNIV. SKIKDA,I19LAL01,SCIENCES SOCIALES,11.08,12.1,nan
E16,UNIV. SKIKDA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.0,nan
W82,UNIV.SKIKDA I.S.T.A,A02TPN01,AUTOMATIQUE (FORMATIONS PROFESSIONNALISANTES),10.94,11.48,nan
W82,UNIV.SKIKDA I.S.T.A,A21TPN02,"HYGIENE ET SECURITE INDUSTRIELLE (FORMATIONSPROFESSIONNALISANTES)",12.94,13.59,nan
Z27,"CENTRE DE FORMATION CONTINUE SIDI BELABBES",F00FCL01,"SCIENCES ECONOMIQUES DE GESTION ET SCIENCESCOMMERCIALES (FORMATION CONTINUE)",10.0,10.28,10.00
Z27,"CENTRE DE FORMATION CONTINUE SIDI BELABBES",G02FCL01,DROIT (FORMATION CONTINUE),10.09,10.07,15.70
Z27,"CENTRE DE FORMATION CONTINUE SIDI BELABBES",H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.02,10.0,10.08
P42,"ECOLE SUPERIEURE EN INFORMATIQUE SIDIBEL ABBES",C00CAN02,"FB INF ECOLE SUPERIEURE EN INFORMATIQUESIDI BELABBES",17.09,17.41,17.78
U07,UNIV. SIDI BEL ABBES,A00LAL02,SCIENCES ET TECHNOLOGIES,10.0,nan,nan
