"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers BECHAR,15.66,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers ELBAYADH",15.21,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers TINDOUF,14.09,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers NAAMA,14.86,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersTIMIMOUN",14.04,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers BORDJBADJI MOKHTAR",--,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers BENIABBES",14.11,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers ADRAR,15.36,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers BECHAR,15.64,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,"SCIENCES NATURELLES (P.E.S) -- pour bacheliers ELBAYADH",15.92,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers TINDOUF,14.91,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers NAAMA,15.59,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers TIMIMOUN,15.25,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,"SCIENCES NATURELLES (P.E.S) -- pour bacheliers BORDJBADJI MOKHTAR",--,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,D00PSL01,"SCIENCES NATURELLES (P.E.S) -- pour bacheliers BENIABBES",15.88,nan,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers ADRAR,--,--,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers BECHAR,14.77,--,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers EL BAYADH,--,14.77,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers TINDOUF,--,--,nan
U44,ECOLE NORMALE SUPERIEURE DE BECHAR,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers NAAMA,--,14.13,nan
