"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers DJANET,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers CHLEF,16.07,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers BLIDA,15.32,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers BOUIRA,15.57,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersTAMANRASSET",15.17,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers TLEMCEN,14.98,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers TIZI-OUZOU",14.74,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers ALGER,15.50,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers SAIDA,14.58,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers SIDIBEL-ABBES",14.85,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersMOSTAGANEM",15.32,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers MASCARA,15.55,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers ORAN,14.35,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers ILLIZI,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersBOUMERDES",15.55,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersTISSEMSILT",15.75,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers TIPAZA,15.60,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers AIN-DEFLA",16.03,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliers AIN-TEMOUCHENT",15.18,nan,nan
