"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BOUIRA,15.48,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TAMANRASSET,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TLEMCEN,14.56,15.11,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TIARET,15.12,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TIZI-OUZOU,--,14.18,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers ALGER,14.88,15.48,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers DJELFA,--,16.25,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers SAIDA,--,14.83,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers SIDIBEL-ABBES,--,14.03,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers MEDEA,15.47,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers MOSTAGANEM,15.12,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers MSILA,15.52,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers MASCARA,--,15.59,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers ORAN,14.65,14.60,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers ILLIZI,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BOUMERDES,14.67,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TISSEMSILT,15.20,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TIPAZA,--,15.85,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers AIN-DEFLA,16.46,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,"INFORMATIQUE (P.E.M) -- pour bacheliers AIN-TEMOUCHENT",--,14.64,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers GHARDAIA,--,15.49,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers RELIZANE,15.26,16.06,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers IN SALAH,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers IN GUEZZAM,--,--,nan
