"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C39,UNIV. BLIDA 1,A09IAN03,"ENERGIES RENOUVELABLES (CONVERSIONPHOTOVOLTAIQUE)",13.23,nan,nan
C39,UNIV. BLIDA 1,A16TCL01,ELECTROTECHNIQUE,11.62,nan,nan
C39,UNIV. BLIDA 1,A19TCL01,GENIE MECANIQUE,12.07,nan,nan
C39,UNIV. BLIDA 1,B00LAL03,SCIENCES DE LA MATIERE,10.14,nan,nan
C39,UNIV. BLIDA 1,C01LAL01,INFORMATIQUE,13.72,14.37,nan
C39,UNIV. BLIDA 1,C01TCL02,INFORMATIQUE,14.85,15.57,nan
C39,UNIV. BLIDA 1,C02LAL01,MATHEMATIQUES,10.76,11.59,nan
C39,UNIV. BLIDA 1,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,11.83,13.08,nan
C39,UNIV. BLIDA 1,D03TCL01,SCIENCES AGRONOMIQUES,11.94,12.98,nan
C39,UNIV. BLIDA 1,N04LAL01,URBANISME,13.52,nan,nan
C39,UNIV. BLIDA 1,N05IAL01,ARCHITECTURE,14.44,nan,nan
C39,UNIV. BLIDA 1,P04VAL01,SCIENCES VETERINAIRES,14.48,--,nan
C47,UNIV. BLIDA 1 I.S.T.A,D07TPN02,"SCIENCES ALIMENTAIRES (FORMATIONSPROFESSIONNALISANTES)",14.6,--,nan
C40,UNIV. BLIDA 2,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.00,10.93
C40,UNIV. BLIDA 2,G01LAL01,SCIENCES POLITIQUES,10.12,10.85,11.63
C40,UNIV. BLIDA 2,G02LAL02,DROIT,10.55,11.25,13.09
C40,UNIV. BLIDA 2,H01LAL01,LANGUE FRANCAISE,11.3,12.05,12.91
C40,UNIV. BLIDA 2,H06LAL01,LANGUE ANGLAISE,12.67,13.51,14.44
C40,UNIV. BLIDA 2,H07LAL01,LANGUE ITALIENNE,10.02,10.67,11.42
C40,UNIV. BLIDA 2,I17LAL01,SCIENCES HUMAINES,10.21,10.93,nan
C40,UNIV. BLIDA 2,I19LAL01,SCIENCES SOCIALES,10.94,11.71,nan
C40,UNIV. BLIDA 2,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.00,nan
