Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
U09,UNIV. SAIDA,A16TCL01,ELECTROTECHNIQUE,12.36,nan,nan
U09,UNIV. SAIDA,B00LAL01,SCIENCES DE LA MATIERE,7.88,nan,nan
U09,UNIV. SAIDA,C01LAL01,INFORMATIQUE,9.41,9.69,nan
U09,UNIV. SAIDA,C01TCL02,INFORMATIQUE,12.4,12.78,nan
U09,UNIV. SAIDA,C02LAL01,MATHEMATIQUES,10.86,9.61,nan
U09,UNIV. SAIDA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.0,--,13.99
U09,UNIV. SAIDA,D03TCL01,SCIENCES AGRONOMIQUES,10.13,9.16,10.02
U09,UNIV. SAIDA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET",10.01,--,10.0
nan,nan,nan,COMMERCIALES,nan,nan,nan
U09,UNIV. SAIDA,G01LAL01,SCIENCES POLITIQUES,10.0,10.00,10.27
U09,UNIV. SAIDA,G02LAL01,DROIT,10.0,10.00,10.28
U09,UNIV. SAIDA,H01LAL01,LANGUE FRANCAISE,10.51,9.56,9.75
U09,UNIV. SAIDA,H06LAL01,LANGUE ANGLAISE,10.43,11.13,11.89
U09,UNIV. SAIDA,I17LAL02,SCIENCES HUMAINES,10.0,10.08,nan
U09,UNIV. SAIDA,I19LAL01,SCIENCES SOCIALES,10.61,11.39,nan
U09,UNIV. SAIDA,K00LAL01,ARTS,10.01,nan,nan
U09,UNIV. SAIDA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.02,nan
E16,UNIV. SKIKDA,A00LAL01,SCIENCES ET TECHNOLOGIES,10.75,nan,nan
E16,UNIV. SKIKDA,A00TCL01,SCIENCES ET TECHNOLOGIES,11.91,nan,nan
E16,UNIV. SKIKDA,A05TCL01,GENIE CIVIL,9.85,nan,nan
E16,UNIV. SKIKDA,A08TCL01,GENIE DES PROCEDES,9.92,nan,nan
E16,UNIV. SKIKDA,A13IAN01,INDUSTRIES PETROCHIMIQUES,14.78,nan,nan
E16,UNIV. SKIKDA,A13LAN01,INDUSTRIES PETROCHIMIQUES,14.75,nan,nan
E16,UNIV. SKIKDA,A16TCL01,ELECTROTECHNIQUE,10.27,nan,nan
E16,UNIV. SKIKDA,A19TCL01,GENIE MECANIQUE,11.39,nan,nan
