"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E17,UNIV. OUARGLA,I19LAL03,SCIENCES SOCIALES,10.08,nan,10.86,nan
E17,UNIV. OUARGLA,J00LAL02,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.02,nan,nan,nan
E17,UNIV. OUARGLA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,nan,10.09,nan
E49,UNIV. OUARGLA – I.S.T.A.,A11TPN02,OPTIQUE ET MECANIQUE DE PRECISION,11.47,nan,11.96,nan
E49,UNIV. OUARGLA – I.S.T.A.,A21TPN01,HYGIENE ET SECURITE INDUSTRIELLE,12.25,nan,12.9,nan
E49,UNIV. OUARGLA – I.S.T.A.,F00TPN01,"SCIENCES DE GESTION SCIENCES FINANCIERES ETCOMPTABILITE",12.45,nan,13.28,14.29
P27,ECOLE NATIONALE POLYTECHNIQUES D ORAN,A00CAN08,FB ST ECOLE NATIONALE POLYTECHNIQUE D ORAN,16.0,nan,nan,nan
P25,ECOLE SUPERIEURE D ECONOMIE D ORAN,F00CAN04,FB SECSG ECOLE SUPERIEURE DE D ECONOMIE D ORAN,14.53,nan,nan,nan
P81,"ECOLE SUPERIEURE DES SCIENCESBIOLOGIQUES D ORAN",D00CAN08,"FB SNV ECOLE SUPERIEURE DES SCIENCES BIOLOGIQUESD ORAN",15.12,nan,16.04,nan
P14,"ECOLE SUPERIEURE EN GENIE ELECTRIQUE ETENERGETIQUE D ORAN",A00CAN03,"FB ST ECOLE SUPERIEURE EN GENIE ELECTRIQUE ETENERGETIQUE D ORAN",15.44,nan,nan,nan
U02,U.S.T.O. (ORAN),A00LAL05,SCIENCES ET TECHNOLOGIES,7.62,nan,nan,nan
U02,U.S.T.O. (ORAN),A00TCL03,SCIENCES ET TECHNOLOGIES,11.2,nan,nan,nan
U02,U.S.T.O. (ORAN),A04LAL02,METALLURGIE,13.54,nan,nan,nan
U02,U.S.T.O. (ORAN),A05TCL01,GENIE CIVIL,10.24,nan,nan,nan
U02,U.S.T.O. (ORAN),A06IAN01,AERONAUTIQUE,14.91,nan,nan,nan
U02,U.S.T.O. (ORAN),A08TCL02,GENIE DES PROCEDES,9.81,nan,nan,nan
U02,U.S.T.O. (ORAN),A09IAN01,ELECTROTECHNIQUE,13.34,nan,nan,nan
U02,U.S.T.O. (ORAN),A10LAN01,GENIE MARITIME,13.6,nan,nan,nan
U02,U.S.T.O. (ORAN),A12LAL03,HYDRAULIQUE,12.75,nan,nan,nan
U02,U.S.T.O. (ORAN),A16TCL01,ELECTROTECHNIQUE,10.15,nan,nan,nan
U02,U.S.T.O. (ORAN),A19TCL01,GENIE MECANIQUE,13.02,nan,nan,nan
U02,U.S.T.O. (ORAN),B00LAL01,SCIENCES DE LA MATIERE,8.19,nan,nan,nan
