Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
E04,UNIV. ANNABA,I17LAL01,SCIENCES HUMAINES,10.0,10.02,nan
E04,UNIV. ANNABA,I19LAL01,SCIENCES SOCIALES,10.0,10.02,nan
E04,UNIV. ANNABA,J00LAL02,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET,12.39,nan,nan
nan,nan,nan,SPORTIVES,nan,nan,nan
E04,UNIV. ANNABA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.02,10.15,nan
E04,UNIV. ANNABA,N05IAL01,ARCHITECTURE,13.59,nan,nan
E15,UNIV. GUELMA,A00LAL03,SCIENCES ET TECHNOLOGIES,8.42,nan,nan
E15,UNIV. GUELMA,A00TCL01,SCIENCES ET TECHNOLOGIES,9.72,nan,nan
E15,UNIV. GUELMA,A05TCL01,GENIE CIVIL,10.08,nan,nan
E15,UNIV. GUELMA,A08TCL01,GENIE DES PROCEDES,10.78,nan,nan
E15,UNIV. GUELMA,A16FPN02,ELECTROTECHNIQUE,12.31,nan,nan
E15,UNIV. GUELMA,A16TCL01,ELECTROTECHNIQUE,10.46,nan,nan
E15,UNIV. GUELMA,A19FPN03,GENIE MECANIQUE,10.9,nan,nan
E15,UNIV. GUELMA,A19TCL01,GENIE MECANIQUE,10.84,nan,nan
E15,UNIV. GUELMA,A20IAN01,TELECOMMUNICATIONS,12.88,nan,nan
E15,UNIV. GUELMA,B00LAL02,SCIENCES DE LA MATIERE,8.64,nan,nan
E15,UNIV. GUELMA,C01FPN03,INFORMATIQUE,13.52,13.88,nan
E15,UNIV. GUELMA,C01LAL02,INFORMATIQUE,9.38,7.69,nan
E15,UNIV. GUELMA,C01TCL01,INFORMATIQUE,11.41,10.65,nan
E15,UNIV. GUELMA,C02LAL02,MATHEMATIQUES,8.88,8.09,nan
E15,UNIV. GUELMA,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,9.73,--,10.42
E15,UNIV. GUELMA,D03TCL01,SCIENCES AGRONOMIQUES,10.09,9.75,10.87
E15,UNIV. GUELMA,D07FPN02,SCIENCES ALIMENTAIRES,12.18,14.02,nan
E15,UNIV. GUELMA,E03LAL02,GEOLOGIE,10.85,--,13.29
