"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers GHARDAIA,14.63,nan,15.52,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers EL MENIAA,--,nan,14.97,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers LAGHOUAT,13.01,nan,13.67,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers TIARET,13.02,nan,13.40,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers DJELFA,13.42,nan,13.95,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MEDEA,13.06,nan,13.72,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers LAGHOUAT,15.32,nan,15.95,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers TIARET,15.65,nan,16.57,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers DJELFA,15.91,nan,16.91,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers MEDEA,16.45,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers GHARDAIA,15.29,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers EL MENIAA,--,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PML01,"HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliersLAGHOUAT",14.03,nan,14.65,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers TIARET,14.06,nan,14.75,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers DJELFA,14.47,nan,15.15,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers MSILA,14.71,nan,15.45,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers LAGHOUAT,14.44,nan,15.41,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers TIARET,14.48,nan,15.14,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers DJELFA,14.91,nan,15.64,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers MSILA,15.20,nan,15.93,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers CHLEF",14.26,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers LAGHOUAT",14.42,nan,nan,nan
