"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
C14,UNIV. TIZI OUZOU,F02LAN01,SCIENCES FINANCIERES ET COMPTABILITE,12.58,13.22,nan,nan
C14,UNIV. TIZI OUZOU,G01LAL02,SCIENCES POLITIQUES,11.33,12.3,nan,15.99
C14,UNIV. TIZI OUZOU,G02LAL02,DROIT,10.0,10.11,nan,--
C14,UNIV. TIZI OUZOU,H01LAL03,LANGUE FRANCAISE,11.98,12.77,nan,13.70
C14,UNIV. TIZI OUZOU,H03IAN10,"TRADUCTION/INTERPRETARIATARABE/FRANCAIS/ANGLAIS",13.4,nan,nan,nan
C14,UNIV. TIZI OUZOU,H03IAN12,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,AMAZIGH)",12.26,nan,nan,nan
C14,UNIV. TIZI OUZOU,H06LAL02,LANGUE ANGLAISE,12.35,13.17,nan,14.13
C14,UNIV. TIZI OUZOU,I17LAL02,SCIENCES HUMAINES,10.0,10.0,nan,nan
C14,UNIV. TIZI OUZOU,I19LAL03,SCIENCES SOCIALES,10.0,10.07,nan,nan
C14,UNIV. TIZI OUZOU,L00LAL02,LANGUE ET LITTERATURE ARABES,10.03,10.21,nan,nan
C14,UNIV. TIZI OUZOU,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.03,10.0,nan,nan
C14,UNIV. TIZI OUZOU,N05IAL02,ARCHITECTURE,14.63,nan,nan,nan
C05,ECOLE NATIONALE POLYTECHNIQUE D ALGER,A00CAN04,FB ST ECOLE NATIONALE POLYTECHNIQUE D ALGER,16.97,nan,nan,nan
C11,"ECOLE NATIONALE SUP. DES SCI. DE LA MERET DE L AMENAGEMENT DU LITTORAL ALGER",D00CAN11,"FB SP ECOLE NATIONALE SUPERIEURE DES SCIENCES DELA MER ET DE L AMENAGEMENT DU LITTORAL D ALGER",14.1,14.81,nan,nan
C06,"ECOLE NATIONALE SUPERIEUREAGRONOMIQUE ALGER",D00CAN07,"FB SNV ECOLE NATIONALE SUPERIEURE AGRONOMIQUEALGER",14.45,15.22,nan,nan
P31,"ECOLE NATIONALE SUPERIEURE DEJOURNALISME ET DES SCIENCES DE LINFORMATION ALGER",I00CAN01,"FB JOURNALISME ECOLE NATIONALE SUPERIEURE DEJOURNALISME ET DES SCIENCES DE L INFORMATIONALGER",13.98,14.68,nan,nan
P10,"ECOLE NATIONALE SUPERIEURE DESNANOSCIENCES ET NANOTECHENOLOGIES",A00CAN14,"FB ST ECOLE NATIONALE SUPERIEURE DESNANOSCIENCES ET NANOTECHENOLOGIES ALGER",17.0,nan,nan,nan
P51,"ECOLE NATIONALE SUPERIEURE DESSCIENCES POLITIQUES ALGER",G00CAN01,"FB SPO ECOLE NATIONALE SUPERIEURE DE SCIENCESPOLITIQUES ALGER",13.93,14.64,nan,nan
