"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
U23,UNIV. RELIZANE,L00LAL01,LANGUE ET LITTERATURE ARABES,10.00,nan,10.00,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers LAGHOUAT",14.19,nan,14.88,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers DJELFA",14.58,nan,15.38,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers MEDEA",14.82,nan,15.68,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers LAGHOUAT,15.06,nan,15.85,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers DJELFA,15.27,nan,16.13,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers MEDEA,15.80,nan,16.80,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers GHARDAIA,14.34,nan,15.03,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers EL MENIAA,--,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers LAGHOUAT,14.05,nan,14.74,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers DJELFA,14.36,nan,15.06,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers MEDEA,14.70,nan,15.42,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers LAGHOUAT,14.98,nan,15.52,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers DJELFA,15.45,nan,16.22,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers MEDEA,15.88,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers GHARDAIA,15.16,nan,15.51,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers EL MENIAA,16.41,nan,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PML01,"SCIENCES NATURELLES (P.E.M) -- pour bacheliersLAGHOUAT",14.89,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers TIARET,15.28,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers DJELFA,15.29,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers MEDEA,15.17,nan,nan,nan
