Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C31,UNIV. TAMANGHASSET,C01LAL01,INFORMATIQUE,12.15,9.39,nan
C31,UNIV. TAMANGHASSET,C02LAL01,MATHEMATIQUES,9.81,9.35,nan
C31,UNIV. TAMANGHASSET,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.01,--,--
C31,UNIV. TAMANGHASSET,E03LAL02,GEOLOGIE,--,--,--
C31,UNIV. TAMANGHASSET,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET",10.00,10.99,10.08
nan,nan,nan,COMMERCIALES,nan,nan,nan
C31,UNIV. TAMANGHASSET,G02LAL01,DROIT,10.00,10.39,10.00
C31,UNIV. TAMANGHASSET,H06LAL02,LANGUE ANGLAISE,11.57,9.79,9.43
C31,UNIV. TAMANGHASSET,I17LAL01,SCIENCES HUMAINES,10.07,--,nan
C31,UNIV. TAMANGHASSET,I19LAL01,SCIENCES SOCIALES,10.00,11.00,nan
C31,UNIV. TAMANGHASSET,L00LAL01,LANGUE ET LITTERATURE ARABES,10.01,--,nan
C31,UNIV. TAMANGHASSET,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.25,--,nan
C31,UNIV. TAMANGHASSET,P04VAL01,SCIENCES VETERINAIRES,10.70,9.05,13.53
E12,UNIV. TEBESSA,A00LAL01,SCIENCES ET TECHNOLOGIES,8.01,nan,nan
E12,UNIV. TEBESSA,A01LAN01,GENIE MINIER,9.28,nan,nan
E12,UNIV. TEBESSA,A05TCL01,GENIE CIVIL,11.10,nan,nan
E12,UNIV. TEBESSA,A16TCL01,ELECTROTECHNIQUE,10.08,nan,nan
E12,UNIV. TEBESSA,A19TCL01,GENIE MECANIQUE,11.27,nan,nan
E12,UNIV. TEBESSA,B00LAL01,SCIENCES DE LA MATIERE,8.34,nan,nan
E12,UNIV. TEBESSA,C01LAL01,INFORMATIQUE,10.15,10.62,nan
E12,UNIV. TEBESSA,C02LAL01,MATHEMATIQUES,11.19,8.55,nan
E12,UNIV. TEBESSA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.00,9.05,10.48
E12,UNIV. TEBESSA,D03TCL01,SCIENCES AGRONOMIQUES,11.09,--,10.11
E12,UNIV. TEBESSA,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,11.06,--,13.21
E12,UNIV. TEBESSA,E03LAL01,GEOLOGIE,8.85,10.61,10.18
