Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
U06,UNIV. TLEMCEN,HF0LAN01,LETTRES ET LANGUES ETRANGERES + SCIENCES,13.89,14.67,nan
nan,nan,nan,FINANCIERES ET COMPTABILITE,nan,nan,nan
U06,UNIV. TLEMCEN,I17LAL02,SCIENCES HUMAINES,10.0,10.00,nan
U06,UNIV. TLEMCEN,I19LAL03,SCIENCES SOCIALES,10.07,10.80,nan
U06,UNIV. TLEMCEN,I20LAL01,SCIENCES ISLAMIQUES,11.93,12.83,nan
U06,UNIV. TLEMCEN,K00LAL01,ARTS,10.0,nan,nan
U06,UNIV. TLEMCEN,L00LAL03,LANGUE ET LITTERATURE ARABES,10.0,10.02,nan
U06,UNIV. TLEMCEN,N05IAL01,ARCHITECTURE,13.79,nan,nan
U48,UNIV. TLEMCEN I.S.T.A,A05TPN01,GENIE CIVIL,13.43,14.26,nan
U48,UNIV. TLEMCEN I.S.T.A,D07TPN01,SCIENCES ALIMENTAIRES,14.17,--,--
U48,UNIV. TLEMCEN I.S.T.A,N02TPN01,METIERS DE LA VILLE  GEOMETRE TOPOGRAPHE,13.98,14.75,nan
U41,INSTITUT VETERINAIRE UNIV. TIARET,P04VAN04,SCIENCES VETERINAIRES,12.69,14.24,14.31
U10,UNIV. TIARET,A00LAL01,SCIENCES ET TECHNOLOGIES,8.16,nan,nan
U10,UNIV. TIARET,A00TCL03,SCIENCES ET TECHNOLOGIES,9.81,nan,nan
U10,UNIV. TIARET,A05TCL01,GENIE CIVIL,12.55,nan,nan
U10,UNIV. TIARET,A16TCL01,ELECTROTECHNIQUE,10.33,nan,nan
U10,UNIV. TIARET,A19TCL01,GENIE MECANIQUE,10.96,nan,nan
U10,UNIV. TIARET,C01LAL01,INFORMATIQUE,12.06,12.22,nan
U10,UNIV. TIARET,C02LAL01,MATHEMATIQUES,9.24,9.78,nan
U10,UNIV. TIARET,D03TCL01,SCIENCES AGRONOMIQUES,9.23,13.06,10.10
U10,UNIV. TIARET,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.05,7.98,10.44
U10,UNIV. TIARET,G01LAL03,SCIENCES POLITIQUES,10.01,10.02,10.00
U10,UNIV. TIARET,H01LAL01,LANGUE FRANCAISE,10.43,8.87,9.57
U10,UNIV. TIARET,H02LAL01,LANGUE ESPAGNOLE,9.91,nan,nan
U10,UNIV. TIARET,H04LAL01,LANGUE ALLEMANDE,10.59,nan,nan
