Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers BLIDA,15.86,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers BOUIRA,16.34,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TAMANRASSET,--,15.00,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TIZI-OUZOU,14.06,14.47,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers ALGER,14.84,15.62,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers ILLIZI,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers BOUMERDES,15.17,15.90,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TISSEMSILT,16.65,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TIPAZA,14.80,15.62,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers AIN-DEFLA,16.26,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers IN SALAH,--,14.10,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers IN GUEZZAM,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers DJANET,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers BEJAIA,15.37,16.03,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers BLIDA,16.61,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers BOUIRA,16.63,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers TAMANRASSET,--,14.90,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers TIZI-OUZOU,15.00,15.86,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers ALGER,15.78,16.77,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers ILLIZI,--,16.12,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers BOUMERDES,16.05,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers TIPAZA,15.84,16.42,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers AIN-DEFLA,17.16,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers IN SALAH,--,14.57,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers IN GUEZZAM,--,--,nan
