"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,D07TPN03,SCIENCES ALIMENTAIRES,12.27,15.11,nan,14.05
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,F00TPN02,"SCIENCES DE GESTION SCIENCES FINANCIERES ETCOMPTABILITE",12.94,13.80,nan,--
E44,C . UNIV BARIKA,A00LAL04,SCIENCES ET TECHNOLOGIES,8.53,nan,nan,nan
E44,C . UNIV BARIKA,C01LAL02,INFORMATIQUE,11.88,11.35,nan,nan
E44,C . UNIV BARIKA,C02LAL02,MATHEMATIQUES,8.92,9.56,nan,nan
E44,C . UNIV BARIKA,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.01,10.58,nan,10.00
E44,C . UNIV BARIKA,G02LAL02,DROIT,10.0,10.00,nan,10.11
E44,C . UNIV BARIKA,H01LAL03,LANGUE FRANCAISE,11.15,11.13,nan,11.77
E44,C . UNIV BARIKA,H06LAL03,LANGUE ANGLAISE,10.03,9.70,nan,9.52
E44,C . UNIV BARIKA,I17LAL02,SCIENCES HUMAINES,10.13,10.07,nan,nan
E44,C . UNIV BARIKA,I19LAL03,SCIENCES SOCIALES,10.0,10.00,nan,nan
E44,C . UNIV BARIKA,L00LAL03,LANGUE ET LITTERATURE ARABES,10.06,10.06,nan,nan
W92,"E.N.S DES ENERGIES RENOUVELABLES DE LENVIRONNEMENT ET DU DEVELOPPEMENTDURABLE BATNA",A00CAN12,"FB ST ECOLE NAT SUP DES ENERGIES RENOUVELABLESDE ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLEBATNA",15.09,nan,nan,nan
E39,INSTITUT VETERINAIRE UNIV.BATNA 1,P04VAN03,SCIENCES VETERINAIRES,12.82,--,nan,14.07
E08,UNIV. BATNA 1,B00LAL01,SCIENCES DE LA MATIERE,8.93,nan,nan,nan
E08,UNIV. BATNA 1,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,11.21,--,nan,--
E08,UNIV. BATNA 1,D03TCL01,SCIENCES AGRONOMIQUES,9.19,8.19,nan,10.00
E08,UNIV. BATNA 1,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.11,nan,10.88
E08,UNIV. BATNA 1,G01LAL01,SCIENCES POLITIQUES,10.0,10.01,nan,10.61
E08,UNIV. BATNA 1,G02LAL01,DROIT,10.0,10.35,nan,11.32
E08,UNIV. BATNA 1,I17LAL01,SCIENCES HUMAINES,10.0,10.00,nan,nan
