"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers MASCARA,14.16,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers ORAN,13.06,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers ILLIZI,--,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers BOUMERDES,14.63,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers TISSEMSILT,--,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers TIPAZA,14.78,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers AIN-DEFLA,15.27,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers AIN-TEMOUCHENT,13.22,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers GHARDAIA,13.16,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers RELIZANE,15.17,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers IN SALAH,13.14,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers IN GUEZZAM,--,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers DJANET,--,nan,nan,nan
C26,"ECOLE NORMALE SUPERIEURE DEBOUZAREAH (E.N.S)",I13PSL01,PHILOSOPHIE (P.E.S) -- pour bacheliers EL MENIAA,12.90,nan,nan,nan
