"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers MSILA,14.37,15.17,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers B.B.ARRERIDJ,14.44,15.2,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers OULED DJELLAL,14.05,14.33,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers BISKRA,14.54,15.05,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers MSILA,15.26,15.97,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers B.B.ARRERIDJ,15.12,16.26,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,"LANGUE FRANCAISE (P.E.S) -- pour bacheliers OULEDDJELLAL",14.38,14.44,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers BISKRA,--,15.9,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MSILA,14.88,15.55,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers B.B.ARRERIDJ,14.88,15.72,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,"LANGUE ANGLAISE (P.E.P) -- pour bacheliers OULEDDJELLAL",--,15.55,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers BISKRA",14.92,nan,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers MSILA",15.07,nan,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers B.B.ARRERIDJ",15.08,nan,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers OULED DJELLAL",14.41,nan,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersBISKRA",14.31,15.0,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersMSILA",15.26,15.88,nan,nan
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersB.B.ARRERIDJ",14.73,15.38,nan,nan
