"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E24,UNIV KHENCHELA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.02,nan,10.08,nan
E26,UNIV SOUK AHRAS,A00LAL01,SCIENCES ET TECHNOLOGIES,8.28,nan,nan,nan
E26,UNIV SOUK AHRAS,A05TCL01,GENIE CIVIL,10.11,nan,nan,nan
E26,UNIV SOUK AHRAS,A08TCL01,GENIE DES PROCEDES,9.17,nan,nan,nan
E26,UNIV SOUK AHRAS,A16TCL01,ELECTROTECHNIQUE,10.91,nan,nan,nan
E26,UNIV SOUK AHRAS,A19TCL01,GENIE MECANIQUE,10.8,nan,nan,nan
E26,UNIV SOUK AHRAS,B00LAL01,SCIENCES DE LA MATIERE,8.42,nan,nan,nan
E26,UNIV SOUK AHRAS,C01LAL01,INFORMATIQUE,9.29,nan,8.77,nan
E26,UNIV SOUK AHRAS,C02LAL01,MATHEMATIQUES,9.04,nan,8.01,nan
E26,UNIV SOUK AHRAS,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.23,nan,9.35,11.36
E26,UNIV SOUK AHRAS,D03TCL01,SCIENCES AGRONOMIQUES,9.33,nan,--,11.21
E26,UNIV SOUK AHRAS,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.01,nan,10.05,10.04
E26,UNIV SOUK AHRAS,G02LAL01,DROIT,10.0,nan,10.05,10.76
E26,UNIV SOUK AHRAS,H01LAL01,LANGUE FRANCAISE,10.64,nan,8.92,10.8
E26,UNIV SOUK AHRAS,H06LAL01,LANGUE ANGLAISE,11.05,nan,11.85,12.62
E26,UNIV SOUK AHRAS,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.32,nan
E26,UNIV SOUK AHRAS,I19LAL01,SCIENCES SOCIALES,10.0,nan,10.26,nan
E26,UNIV SOUK AHRAS,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.0,nan,nan,nan
E26,UNIV SOUK AHRAS,L00LAL01,LANGUE ET LITTERATURE ARABES,10.06,nan,10.23,nan
E26,UNIV SOUK AHRAS,P04VAL01,SCIENCES VETERINAIRES,10.37,nan,9.65,10.54
C38,C. UNIV. TIPAZA,A00LAL04,SCIENCES ET TECHNOLOGIES,10.08,nan,nan,nan
C38,C. UNIV. TIPAZA,A05TCL01,GENIE CIVIL,12.39,nan,nan,nan
C38,C. UNIV. TIPAZA,A08TCL01,GENIE DES PROCEDES,9.66,nan,nan,nan
