"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers IN GUEZZAM",--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers DJANET",--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BEJAIA,14.93,15.42,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BLIDA,16.14,17.70,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BOUIRA,17.09,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,"SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliersTAMANRASSET",15.78,15.26,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TIZI-OUZOU,14.49,15.47,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers ALGER,15.38,16.44,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers ILLIZI,--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers BOUMERDES,15.77,17.42,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TIPAZA,15.38,16.27,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers AIN-DEFLA,16.83,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers IN SALAH,--,14.71,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,"SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers INGUEZZAM",--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers DJANET,--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers CHLEF,16.61,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers LAGHOUAT,--,15.60,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BLIDA,15.41,15.08,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers BOUIRA,--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TAMANRASSET,--,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TLEMCEN,14.09,14.07,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PML01,INFORMATIQUE (P.E.M) -- pour bacheliers TIARET,--,--,nan,nan
