"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
C18,UNIV. LAGHOUAT,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.85,nan,11.52,11.56
C18,UNIV. LAGHOUAT,D03TCL01,SCIENCES AGRONOMIQUES,8.83,nan,--,10.76
C18,UNIV. LAGHOUAT,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.78,10.0
C18,UNIV. LAGHOUAT,F04EAN01,SCIENCES ECONOMIQUES,10.68,nan,11.66,12.17
C18,UNIV. LAGHOUAT,G01LAL01,SCIENCES POLITIQUES,10.0,nan,10.11,10.06
C18,UNIV. LAGHOUAT,G02LAL03,DROIT,10.0,nan,10.03,11.5
C18,UNIV. LAGHOUAT,H01LAL01,LANGUE FRANCAISE,11.05,nan,8.55,8.74
C18,UNIV. LAGHOUAT,H02LAL01,LANGUE ESPAGNOLE,11.28,nan,nan,nan
C18,UNIV. LAGHOUAT,H06LAL01,LANGUE ANGLAISE,11.36,nan,12.11,12.93
C18,UNIV. LAGHOUAT,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.08,nan
C18,UNIV. LAGHOUAT,I19LAL01,SCIENCES SOCIALES,10.0,nan,10.07,nan
C18,UNIV. LAGHOUAT,I20LAL02,SCIENCES ISLAMIQUES,10.83,nan,11.65,nan
C18,UNIV. LAGHOUAT,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.01,nan,nan,nan
C18,UNIV. LAGHOUAT,L00LAL02,LANGUE ET LITTERATURE ARABES,10.04,nan,10.00,nan
C18,UNIV. LAGHOUAT,N01LAL01,GESTION DES TECHNIQUES URBAINES,8.43,nan,nan,nan
C18,UNIV. LAGHOUAT,N02IAN01,METIERS DE LA VILLE,7.89,nan,nan,nan
C18,UNIV. LAGHOUAT,N05IAL01,ARCHITECTURE,11.5,nan,nan,nan
C18,UNIV. LAGHOUAT,P04VAL01,SCIENCES VETERINAIRES,11.43,nan,--,12.58
E09,UNIV. OUM EL BOUAGHI,A00LAL01,SCIENCES ET TECHNOLOGIES,8.45,nan,nan,nan
E09,UNIV. OUM EL BOUAGHI,A05TCL01,GENIE CIVIL,9.66,nan,nan,nan
E09,UNIV. OUM EL BOUAGHI,A08TCL01,GENIE DES PROCEDES,10.26,nan,nan,nan
E09,UNIV. OUM EL BOUAGHI,A16TCL01,ELECTROTECHNIQUE,9.91,nan,nan,nan
E09,UNIV. OUM EL BOUAGHI,A19TCL01,GENIE MECANIQUE,10.16,nan,nan,nan
