Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers OUM-EL-BOUAGHI,15.79,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers BATNA,16.30,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers BEJAIA,15.27,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers BISKRA,--,17.37,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers BLIDA,16.37,16.89,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers BOUIRA,16.69,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers TAMANRASSET,13.87,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers TEBESSA,16.66,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers TLEMCEN,15.05,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers TIARET,16.49,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers TIZI-OUZOU,15.09,15.61,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers ALGER,14.83,15.59,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers DJELFA,17.03,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers JIJEL,15.78,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers SETIF,16.15,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers SAIDA,16.64,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers SKIKDA,15.59,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers SIDIBEL-ABBES,15.69,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers ANNABA,--,16.40,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers GUELMA,16.13,16.40,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers CONSTANTINE,15.36,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers MEDEA,17.50,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers MOSTAGANEM,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers MSILA,--,--,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),C01PSL01,INFORMATIQUE (P.E.S) -- pour bacheliers MASCARA,16.06,--,nan
