"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
U13,UNIV. MASCARA,A08TCL01,GENIE DES PROCEDES,9.99,nan,nan,nan
U13,UNIV. MASCARA,A16TCL01,ELECTROTECHNIQUE,10.4,nan,nan,nan
U13,UNIV. MASCARA,A19TCL01,GENIE MECANIQUE,10.23,nan,nan,nan
U13,UNIV. MASCARA,B00LAL03,SCIENCES DE LA MATIERE,8.21,nan,nan,nan
U13,UNIV. MASCARA,C01LAL01,INFORMATIQUE,10.18,nan,9.61,nan
U13,UNIV. MASCARA,C01TCL03,INFORMATIQUE,10.75,nan,9.48,nan
U13,UNIV. MASCARA,C02LAL01,MATHEMATIQUES,9.62,nan,8.19,nan
U13,UNIV. MASCARA,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,10.08,nan,10.76,13.35
U13,UNIV. MASCARA,D03TCL01,SCIENCES AGRONOMIQUES,9.66,nan,--,10.2
U13,UNIV. MASCARA,E03LAL01,GEOLOGIE,9.69,nan,10.79,10.2
U13,UNIV. MASCARA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.60,10.0
U13,UNIV. MASCARA,G01LAL02,SCIENCES POLITIQUES,10.01,nan,10.27,12.18
U13,UNIV. MASCARA,G02LAL01,DROIT,10.0,nan,10.03,10.0
U13,UNIV. MASCARA,H01LAL01,LANGUE FRANCAISE,10.24,nan,9.45,10.82
U13,UNIV. MASCARA,H03IAN15,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ANGLAIS)",11.43,nan,nan,nan
U13,UNIV. MASCARA,H06LAL01,LANGUE ANGLAISE,11.01,nan,11.80,12.57
U13,UNIV. MASCARA,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.00,nan
U13,UNIV. MASCARA,I19LAL01,SCIENCES SOCIALES,10.0,nan,10.00,nan
U13,UNIV. MASCARA,K00LAL01,ARTS,10.0,nan,nan,nan
U13,UNIV. MASCARA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,nan,10.00,nan
E17,UNIV. OUARGLA,A00LAL03,SCIENCES ET TECHNOLOGIES,8.48,nan,nan,nan
E17,UNIV. OUARGLA,A00TCL01,SCIENCES ET TECHNOLOGIES,11.5,nan,nan,nan
E17,UNIV. OUARGLA,A03FPN02,HYDROCARBURES,14.41,nan,nan,nan
