Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C37,UNIV. ALGER 3,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET,10.0,nan,nan
nan,nan,nan,SPORTIVES,nan,nan,nan
C01,USTHB,A00LAL03,SCIENCES ET TECHNOLOGIES,12.2,nan,nan
C01,USTHB,A00TCL02,SCIENCES ET TECHNOLOGIES,13.46,nan,nan
C01,USTHB,A05TCL01,GENIE CIVIL,13.6,nan,nan
C01,USTHB,A08TCL01,GENIE DES PROCEDES,11.39,nan,nan
C01,USTHB,A16TCL01,ELECTROTECHNIQUE,12.31,nan,nan
C01,USTHB,A19TCL01,GENIE MECANIQUE,12.96,nan,nan
C01,USTHB,B00LAL02,SCIENCES DE LA MATIERE,10.45,nan,nan
C01,USTHB,C01EPN01,INFORMATIQUE,15.83,16.62,nan
C01,USTHB,C01LAL01,INFORMATIQUE,14.66,15.39,nan
C01,USTHB,C01TCL02,INFORMATIQUE,15.77,16.55,nan
C01,USTHB,C02LAL01,MATHEMATIQUES,10.8,11.55,nan
C01,USTHB,C03IAN01,MATHEMATIQUES APPLIQUEES,14.29,15.01,nan
C01,USTHB,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,11.45,12.21,13.22
C01,USTHB,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,9.0,7.76,10.05
C01,USTHB,E03LAL01,GEOLOGIE,8.93,8.03,10.0
C21,UNIV. DJELFA,A00LAL01,SCIENCES ET TECHNOLOGIES,7.67,nan,nan
C21,UNIV. DJELFA,A05TCL01,GENIE CIVIL,9.78,nan,nan
C21,UNIV. DJELFA,A08TCL01,GENIE DES PROCEDES,10.22,nan,nan
C21,UNIV. DJELFA,A16TCL01,ELECTROTECHNIQUE,11.3,nan,nan
C21,UNIV. DJELFA,A19TCL01,GENIE MECANIQUE,10.4,nan,nan
C21,UNIV. DJELFA,B00LAL01,SCIENCES DE LA MATIERE,8.45,nan,nan
C21,UNIV. DJELFA,C01FPN02,INFORMATIQUE,13.41,14.07,nan
C21,UNIV. DJELFA,C01LAL01,INFORMATIQUE,12.41,12.82,nan
