Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
U06,UNIV. TLEMCEN,A00LAL03,SCIENCES ET TECHNOLOGIES,9.24,nan,nan
U06,UNIV. TLEMCEN,A00TCL03,SCIENCES ET TECHNOLOGIES,10.76,nan,nan
U06,UNIV. TLEMCEN,A05TCL02,GENIE CIVIL,11.54,nan,nan
U06,UNIV. TLEMCEN,A16TCL01,ELECTROTECHNIQUE,10.19,nan,nan
U06,UNIV. TLEMCEN,A18LAN01,GENIE INDUSTRIEL,11.81,nan,nan
U06,UNIV. TLEMCEN,A19FPN02,GENIE MECANIQUE,12.33,nan,nan
U06,UNIV. TLEMCEN,A19TCL01,GENIE MECANIQUE,10.9,nan,nan
U06,UNIV. TLEMCEN,A22FPN01,GENIEBIOMEDICAL,13.32,nan,nan
U06,UNIV. TLEMCEN,B00LAL02,SCIENCES DE LA MATIERE,8.31,nan,nan
U06,UNIV. TLEMCEN,C01LAL01,INFORMATIQUE,12.15,12.73,nan
U06,UNIV. TLEMCEN,C01TCL03,INFORMATIQUE,13.27,13.94,nan
U06,UNIV. TLEMCEN,C02LAL01,MATHEMATIQUES,11.48,12.17,nan
U06,UNIV. TLEMCEN,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.52,12.28,13.17
U06,UNIV. TLEMCEN,D03LAN01,SCIENCES AGRONOMIQUES,9.01,7.72,nan
U06,UNIV. TLEMCEN,D03TCL01,SCIENCES AGRONOMIQUES,10.4,11.94,10.12
U06,UNIV. TLEMCEN,E03LAL01,GEOLOGIE,9.43,9.06,10.32
U06,UNIV. TLEMCEN,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET",10.0,10.09,10.0
nan,nan,nan,COMMERCIALES,nan,nan,nan
U06,UNIV. TLEMCEN,G01LAL01,SCIENCES POLITIQUES,10.09,10.0,11.16
U06,UNIV. TLEMCEN,G02LAL01,DROIT,10.01,10.03,10.55
U06,UNIV. TLEMCEN,H01LAL01,LANGUE FRANCAISE,10.87,11.0,11.78
U06,UNIV. TLEMCEN,H02LAL01,LANGUE ESPAGNOLE,11.68,nan,nan
U06,UNIV. TLEMCEN,H06EAN01,LANGUE ANGLAISE,12.97,13.84,15.09
U06,UNIV. TLEMCEN,H06LAL01,LANGUE ANGLAISE,11.05,11.85,12.6
