"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
E02,UNIV. EL TARF,G02LAL01,DROIT,10.00,10.66,11.69
E02,UNIV. EL TARF,H01LAL03,LANGUE FRANCAISE,10.95,11.03,10.85
E02,UNIV. EL TARF,H06LAL01,LANGUE ANGLAISE,12.17,13.30,13.88
E02,UNIV. EL TARF,I19LAL02,SCIENCES SOCIALES,10.03,10.00,nan
E02,UNIV. EL TARF,L00LAL02,LANGUE ET LITTERATURE ARABES,10.00,10.16,nan
E02,UNIV. EL TARF,P04VAL01,SCIENCES VETERINAIRES,10.75,--,12.26
U27,C. UNIV. TINDOUF,A00LAL05,SCIENCES ET TECHNOLOGIES,8.35,nan,nan
U27,C. UNIV. TINDOUF,A08TCL01,GENIE DES PROCEDES,--,nan,nan
U27,C. UNIV. TINDOUF,C01LAL01,INFORMATIQUE,9.59,8.04,nan
U27,C. UNIV. TINDOUF,E03LAL01,GEOLOGIE,10.49,--,--
U27,C. UNIV. TINDOUF,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.00,10.38,10.02
U27,C. UNIV. TINDOUF,G02LAL01,DROIT,10.01,10.66,--
U27,C. UNIV. TINDOUF,L00LAL03,LANGUE ET LITTERATURE ARABES,10.02,10.67,nan
U21,UNIV. TISSEMSILT,A00LAL02,SCIENCES ET TECHNOLOGIES,8.35,nan,nan
U21,UNIV. TISSEMSILT,A05TCL01,GENIE CIVIL,10.80,nan,nan
U21,UNIV. TISSEMSILT,A19TCL01,GENIE MECANIQUE,10.60,nan,nan
U21,UNIV. TISSEMSILT,B00LAL01,SCIENCES DE LA MATIERE,8.74,nan,nan
U21,UNIV. TISSEMSILT,C01LAL01,INFORMATIQUE,11.42,11.53,nan
U21,UNIV. TISSEMSILT,C02LAL01,MATHEMATIQUES,10.06,8.00,nan
U21,UNIV. TISSEMSILT,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,9.88,11.65,10.42
U21,UNIV. TISSEMSILT,D03TCL01,SCIENCES AGRONOMIQUES,11.09,--,10.97
U21,UNIV. TISSEMSILT,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.00,--,10.00
U21,UNIV. TISSEMSILT,G02LAL01,DROIT,10.00,10.04,10.20
