Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers BOUMERDES,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers ELTARF,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers TINDOUF,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers TISSEMSILT,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers EL OUED,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers KHENCHLA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers SOUK-AHRAS,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers TIPAZA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers MILA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers AIN-DEFLA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers NAAMA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers AIN-TEMOUCHENT,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers GHARDAIA,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers RELIZANE,15.40,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers TIMIMOUN,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers BORDJ BADJI MOKHTAR,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers OULED DJELLAL,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers BENI ABBES,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers IN SALAH,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers IN GUEZZAM,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers TOUGGOURT,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers DJANET,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers EL MGHAIER,--,nan,nan
C09,ECOLE NORMALE SUPERIEURE KOUBA (E.N.S),K00PSN01,MUSIQUE (P.E.S) -- pour bacheliers EL MENIAA,--,nan,nan
