"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
E13,UNIV. BISKRA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.06,nan,10.02
E13,UNIV. BISKRA,G01LAL01,SCIENCES POLITIQUES,10.05,10.35,nan,--
E13,UNIV. BISKRA,G02LAL03,DROIT,10.0,10.01,nan,10.95
E13,UNIV. BISKRA,H01LAL01,LANGUE FRANCAISE,11.03,9.06,nan,9.80
E13,UNIV. BISKRA,H06LAL01,LANGUE ANGLAISE,9.47,8.82,nan,8.28
E13,UNIV. BISKRA,I17LAL01,SCIENCES HUMAINES,10.0,10.01,nan,nan
E13,UNIV. BISKRA,I19LAL01,SCIENCES SOCIALES,10.0,10.08,nan,nan
E13,UNIV. BISKRA,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.0,nan,nan,nan
E13,UNIV. BISKRA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.09,nan,nan
E13,UNIV. BISKRA,N01LAL01,GESTION DES TECHNIQUES URBAINES,8.23,nan,nan,nan
E13,UNIV. BISKRA,N02FPN03,MANAGEMENT DES PROJETS DE CONSTRUCTION,7.51,nan,nan,nan
E13,UNIV. BISKRA,N05IAL01,ARCHITECTURE,12.96,nan,nan,nan
E13,UNIV. BISKRA,P04VAL01,SCIENCES VETERINAIRES,12.24,--,nan,--
U11,UNIV. BECHAR,A00LAL01,SCIENCES ET TECHNOLOGIES,8.15,nan,nan,nan
U11,UNIV. BECHAR,A00TCL03,SCIENCES ET TECHNOLOGIES,11.14,nan,nan,nan
U11,UNIV. BECHAR,A05TCL01,GENIE CIVIL,11.57,nan,nan,nan
U11,UNIV. BECHAR,A08TCL01,GENIE DES PROCEDES,10.88,nan,nan,nan
U11,UNIV. BECHAR,A16TCL01,ELECTROTECHNIQUE,11.21,nan,nan,nan
U11,UNIV. BECHAR,A19TCL01,GENIE MECANIQUE,11.14,nan,nan,nan
U11,UNIV. BECHAR,B00LAL01,SCIENCES DE LA MATIERE,8.81,nan,nan,nan
U11,UNIV. BECHAR,C01LAL01,INFORMATIQUE,11.52,12.08,nan,nan
U11,UNIV. BECHAR,C01TCL03,INFORMATIQUE,13.05,13.49,nan,nan
U11,UNIV. BECHAR,C02LAL01,MATHEMATIQUES,12.06,8.73,nan,nan
