Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
E23,UNIV BORDJ BOU ARRERIDJ,B00LAL02,SCIENCES DE LA MATIERE,8.18,nan,nan
E23,UNIV BORDJ BOU ARRERIDJ,C01LAL03,INFORMATIQUE,12.19,12.60,nan
E23,UNIV BORDJ BOU ARRERIDJ,C01TCL01,INFORMATIQUE,12.45,12.97,nan
E23,UNIV BORDJ BOU ARRERIDJ,C02LAL03,MATHEMATIQUES,11.53,11.63,nan
E23,UNIV BORDJ BOU ARRERIDJ,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,11.44,--,14.80
E23,UNIV BORDJ BOU ARRERIDJ,D03TCL01,SCIENCES AGRONOMIQUES,9.45,9.93,--
E23,UNIV BORDJ BOU ARRERIDJ,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET",10.0,10.41,10.85
nan,nan,nan,COMMERCIALES,nan,nan,nan
E23,UNIV BORDJ BOU ARRERIDJ,G02LAL02,DROIT,10.28,10.99,11.76
E23,UNIV BORDJ BOU ARRERIDJ,H01LAL02,LANGUE FRANCAISE,11.33,12.07,12.91
E23,UNIV BORDJ BOU ARRERIDJ,H06LAL03,LANGUE ANGLAISE,12.27,13.09,14.00
E23,UNIV BORDJ BOU ARRERIDJ,I17LAL02,SCIENCES HUMAINES,10.0,10.04,nan
E23,UNIV BORDJ BOU ARRERIDJ,I19LAL02,SCIENCES SOCIALES,10.0,10.00,nan
E23,UNIV BORDJ BOU ARRERIDJ,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.00,nan
C27,UNIV. BOUMERDES,A00LAL04,SCIENCES ET TECHNOLOGIES,10.9,nan,nan
C27,UNIV. BOUMERDES,A00TCL02,SCIENCES ET TECHNOLOGIES,11.27,nan,nan
C27,UNIV. BOUMERDES,A02IAN01,AUTOMATIQUE,14.54,nan,nan
C27,UNIV. BOUMERDES,A03FPN01,HYDROCARBURES,16.0,nan,nan
C27,UNIV. BOUMERDES,A03LAN01,HYDROCARBURES,15.0,nan,nan
C27,UNIV. BOUMERDES,A05TCL01,GENIE CIVIL,13.05,nan,nan
C27,UNIV. BOUMERDES,A07IAN02,ELECTROMECANIQUE,14.51,nan,nan
C27,UNIV. BOUMERDES,A08TCL01,GENIE DES PROCEDES,11.37,nan,nan
C27,UNIV. BOUMERDES,A16TCL01,ELECTROTECHNIQUE,12.22,nan,nan
C27,UNIV. BOUMERDES,A17LAN01,ELECTRONIQUE (ENSEIGNEMENT EN LANGUE ANGLAISE),16.14,nan,nan
C27,UNIV. BOUMERDES,A19TCL01,GENIE MECANIQUE,10.37,nan,nan
