Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,L00LAL03,LANGUE ET LITTERATURE ARABES,10.0,10.28,nan
U25,C. UNIV. NAAMA,A00LAL01,SCIENCES ET TECHNOLOGIES,9.24,nan,nan
U25,C. UNIV. NAAMA,A05TCL01,GENIE CIVIL,10.52,nan,nan
U25,C. UNIV. NAAMA,A16TCL01,ELECTROTECHNIQUE,11.39,nan,nan
U25,C. UNIV. NAAMA,A19TCL01,GENIE MECANIQUE,12.39,nan,nan
U25,C. UNIV. NAAMA,C01LAL01,INFORMATIQUE,10.91,11.31,nan
U25,C. UNIV. NAAMA,C02LAL01,MATHEMATIQUES,13.94,8.22,nan
U25,C. UNIV. NAAMA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.58,--,11.80
U25,C. UNIV. NAAMA,D03TCL01,SCIENCES AGRONOMIQUES,10.48,--,10.21
U25,C. UNIV. NAAMA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET",10.01,10.09,10.00
nan,nan,nan,COMMERCIALES,nan,nan,nan
U25,C. UNIV. NAAMA,G02LAL01,DROIT,10.0,10.01,--
U25,C. UNIV. NAAMA,H01LAL01,LANGUE FRANCAISE,11.03,10.52,10.01
U25,C. UNIV. NAAMA,H06LAL01,LANGUE ANGLAISE,10.29,10.98,11.80
U25,C. UNIV. NAAMA,I17LAL02,SCIENCES HUMAINES,10.0,10.02,nan
U25,C. UNIV. NAAMA,I20LAL02,SCIENCES ISLAMIQUES,10.74,11.66,nan
U25,C. UNIV. NAAMA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.42,nan
U22,UNIV. AIN TEMOUCHENT,A00LAL02,SCIENCES ET TECHNOLOGIES,8.43,nan,nan
U22,UNIV. AIN TEMOUCHENT,A05TCL01,GENIE CIVIL,10.67,nan,nan
U22,UNIV. AIN TEMOUCHENT,A08TCL01,GENIE DES PROCEDES,10.08,nan,nan
U22,UNIV. AIN TEMOUCHENT,A16TCL01,ELECTROTECHNIQUE,10.8,nan,nan
U22,UNIV. AIN TEMOUCHENT,A19TCL01,GENIE MECANIQUE,10.64,nan,nan
U22,UNIV. AIN TEMOUCHENT,B00LAL01,SCIENCES DE LA MATIERE,8.33,nan,nan
U22,UNIV. AIN TEMOUCHENT,C01LAL02,INFORMATIQUE,9.25,8.53,nan
U22,UNIV. AIN TEMOUCHENT,C02LAL02,MATHEMATIQUES,11.59,10.32,nan
