"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E27,UNIV BOUIRA,A19TCL01,GENIE MECANIQUE,9.78,nan,nan,nan
E27,UNIV BOUIRA,B00LAL01,SCIENCES DE LA MATIERE,7.52,nan,nan,nan
E27,UNIV BOUIRA,C01LAL02,INFORMATIQUE,13.33,nan,13.96,nan
E27,UNIV BOUIRA,C02LAL02,MATHEMATIQUES,9.36,nan,7.73,nan
E27,UNIV BOUIRA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.63,nan,12.31,13.11
E27,UNIV BOUIRA,D03TCL01,SCIENCES AGRONOMIQUES,9.71,nan,13.43,10.03
E27,UNIV BOUIRA,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.32,10.71
E27,UNIV BOUIRA,G02LAL03,DROIT,10.0,nan,10.07,11.09
E27,UNIV BOUIRA,H01LAL01,LANGUE FRANCAISE,11.85,nan,12.63,13.57
E27,UNIV BOUIRA,H06LAL02,LANGUE ANGLAISE,12.76,nan,13.73,14.64
E27,UNIV BOUIRA,I17LAL03,SCIENCES HUMAINES,10.0,nan,10.01,nan
E27,UNIV BOUIRA,I19LAL01,SCIENCES SOCIALES,10.0,nan,10.0,nan
E27,UNIV BOUIRA,I20LAL02,SCIENCES ISLAMIQUES,10.0,nan,10.0,nan
E27,UNIV BOUIRA,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.25,nan,nan,nan
E27,UNIV BOUIRA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.02,nan,10.02,nan
E27,UNIV BOUIRA,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.0,nan,10.0,nan
C48,UNIV. BOUIRA – I.S.T.A,A08TPN01,GENIE DES PROCEDES,11.98,nan,12.67,nan
C48,UNIV. BOUIRA – I.S.T.A,A08TPN02,GENIE DES PROCEDES,10.63,nan,11.38,nan
C48,UNIV. BOUIRA – I.S.T.A,A12TPN01,HYDRAULIQUE,11.03,nan,11.32,nan
C31,UNIV. TAMANGHASSET,A00LAL01,SCIENCES ET TECHNOLOGIES,8.78,nan,nan,nan
C31,UNIV. TAMANGHASSET,A05TCL01,GENIE CIVIL,10.6,nan,nan,nan
C31,UNIV. TAMANGHASSET,A16TCL01,ELECTROTECHNIQUE,12.37,nan,nan,nan
C31,UNIV. TAMANGHASSET,A19TCL01,GENIE MECANIQUE,12.56,nan,nan,nan
