"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E28,C. UNIV MILA,G02LAL02,DROIT,10.0,nan,10.00,10.84
E28,C. UNIV MILA,H01LAL01,LANGUE FRANCAISE,10.2,nan,8.73,8.94
E28,C. UNIV MILA,H06LAL01,LANGUE ANGLAISE,11.86,nan,13.13,13.53
E28,C. UNIV MILA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,nan,10.00,nan
C30,UNIV. KHEMIS MILIANA,A00LAL03,SCIENCES ET TECHNOLOGIES,7.92,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,A05TCL01,GENIE CIVIL,10.96,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,A08TCL01,GENIE DES PROCEDES,10.13,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,A16TCL01,ELECTROTECHNIQUE,9.84,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,A19TCL01,GENIE MECANIQUE,9.92,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,B00LAL02,SCIENCES DE LA MATIERE,8.18,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,C01LAL02,INFORMATIQUE,12.12,nan,12.74,nan
C30,UNIV. KHEMIS MILIANA,C02LAL02,MATHEMATIQUES,9.71,nan,8.13,nan
C30,UNIV. KHEMIS MILIANA,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,12.13,nan,13.10,14.83
C30,UNIV. KHEMIS MILIANA,D03TCL01,SCIENCES AGRONOMIQUES,10.31,nan,--,10.44
C30,UNIV. KHEMIS MILIANA,E03LAL01,GEOLOGIE,10.37,nan,8.68,10.64
C30,UNIV. KHEMIS MILIANA,F00LAL04,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.41,10.7
C30,UNIV. KHEMIS MILIANA,G02LAL03,DROIT,10.0,nan,10.00,10.05
C30,UNIV. KHEMIS MILIANA,H01LAL02,LANGUE FRANCAISE,11.07,nan,11.79,12.57
C30,UNIV. KHEMIS MILIANA,H03IAN13,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ANGLAIS)",12.57,nan,nan,nan
C30,UNIV. KHEMIS MILIANA,H06LAL01,LANGUE ANGLAISE,12.49,nan,13.41,14.21
C30,UNIV. KHEMIS MILIANA,I17LAL03,SCIENCES HUMAINES,10.0,nan,10.02,nan
C30,UNIV. KHEMIS MILIANA,I19LAL02,SCIENCES SOCIALES,10.0,nan,10.00,nan
C30,UNIV. KHEMIS MILIANA,J00LAL02,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.15,nan,nan,nan
