"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E16,UNIV. SKIKDA,B00LAL01,SCIENCES DE LA MATIERE,7.97,nan,nan,nan
E16,UNIV. SKIKDA,C01LAL03,INFORMATIQUE,12.88,nan,13.37,nan
E16,UNIV. SKIKDA,C02LAL03,MATHEMATIQUES,9.5,nan,10.09,nan
E16,UNIV. SKIKDA,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,11.47,nan,13.51,--
E16,UNIV. SKIKDA,D03TCL01,SCIENCES AGRONOMIQUES,9.33,nan,9.58,10.17
E16,UNIV. SKIKDA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.17,10.27
E16,UNIV. SKIKDA,G01LAL02,SCIENCES POLITIQUES,10.02,nan,10.0,10.12
E16,UNIV. SKIKDA,G02LAL01,DROIT,10.0,nan,10.26,12.85
E16,UNIV. SKIKDA,H01LAL02,LANGUE FRANCAISE,9.17,nan,10.01,9.39
E16,UNIV. SKIKDA,H04LAL01,LANGUE ALLEMANDE,10.97,nan,nan,nan
E16,UNIV. SKIKDA,H06LAL02,LANGUE ANGLAISE,11.86,nan,12.59,13.47
E16,UNIV. SKIKDA,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.0,nan
E16,UNIV. SKIKDA,I19LAL01,SCIENCES SOCIALES,10.26,nan,11.02,nan
E16,UNIV. SKIKDA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,nan,10.0,nan
W82,UNIV.SKIKDA I.S.T.A,A02TPN01,AUTOMATIQUE,12.85,nan,13.47,nan
W82,UNIV.SKIKDA I.S.T.A,A21TPN02,HYGIENE ET SECURITE INDUSTRIELLE,13.59,nan,14.27,nan
P42,"ECOLE SUPERIEURE EN INFORMATIQUE SIDIBEL ABBES",C00CAN02,"FB INF ECOLE SUPERIEURE EN INFORMATIQUESIDI BELABBES",17.14,nan,17.64,17.99
U07,UNIV. SIDI BEL ABBES,A00LAL02,SCIENCES ET TECHNOLOGIES,7.88,nan,nan,nan
U07,UNIV. SIDI BEL ABBES,A00TCL03,SCIENCES ET TECHNOLOGIES,11.46,nan,nan,nan
U07,UNIV. SIDI BEL ABBES,A05TCL01,GENIE CIVIL,12.46,nan,nan,nan
U07,UNIV. SIDI BEL ABBES,A08TCL01,GENIE DES PROCEDES,10.38,nan,nan,nan
U07,UNIV. SIDI BEL ABBES,A16IAN01,ELECTROTECHNIQUE,13.4,nan,nan,nan
U07,UNIV. SIDI BEL ABBES,A16TCL01,ELECTROTECHNIQUE,10.51,nan,nan,nan
