Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers,15.70,nan,nan
nan,nan,nan,LAGHOUAT,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers TIARET,15.62,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers DJELFA,16.04,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers MEDEA,16.26,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers GHARDAIA,15.70,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers EL MENIAA,15.38,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers LAGHOUAT,15.94,14.07,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers TIARET,14.09,14.22,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers DJELFA,14.18,14.13,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers MEDEA,14.02,14.40,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers LAGHOUAT,14.65,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers TIARET,14.24,14.02,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers DJELFA,14.41,14.03,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers GHARDAIA,--,14.17,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers EL MENIAA,--,--,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers LAGHOUAT,14.04,14.12,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers TIARET,14.39,15.09,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers DJELFA,14.61,15.38,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers MEDEA,14.76,15.64,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers LAGHOUAT,14.32,14.83,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers TIARET,14.84,16.14,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers DJELFA,15.17,15.93,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers MEDEA,15.04,15.98,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers MSILA,14.87,15.64,nan
