Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
E08,UNIV. BATNA 1,I19LAL01,SCIENCES SOCIALES,10.0,10.43,nan
E08,UNIV. BATNA 1,I20LAL01,SCIENCES ISLAMIQUES,10.0,10.4,nan
E08,UNIV. BATNA 1,L00LAL01,LANGUE ET LITTERATURE ARABES,10.01,10.02,nan
E08,UNIV. BATNA 1,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.0,10.0,nan
E08,UNIV. BATNA 1,N01LAL01,GESTION DES TECHNIQUES URBAINES,7.53,nan,nan
E08,UNIV. BATNA 1,N02FPN01,MANAGEMENT DES PROJETS DE CONSTRUCTION,11.37,nan,nan
E08,UNIV. BATNA 1,N05IAL01,ARCHITECTURE,12.52,nan,nan
E45,UNIV. BATNA 2,A00LAL01,SCIENCES ET TECHNOLOGIES,9.65,nan,nan
E45,UNIV. BATNA 2,A00TCL01,SCIENCES ET TECHNOLOGIES,12.05,nan,nan
E45,UNIV. BATNA 2,A05TCL01,GENIE CIVIL,11.12,nan,nan
E45,UNIV. BATNA 2,A08TCL01,GENIE DES PROCEDES,9.98,nan,nan
E45,UNIV. BATNA 2,A16TCL01,ELECTROTECHNIQUE,10.32,nan,nan
E45,UNIV. BATNA 2,A19TCL01,GENIE MECANIQUE,9.71,nan,nan
E45,UNIV. BATNA 2,A21FPN01,HYGIENE ET SECURITE INDUSTRIELLE,13.93,nan,nan
E45,UNIV. BATNA 2,A21LAN01,HYGIENE ET SECURITE INDUSTRIELLE,12.21,nan,nan
E45,UNIV. BATNA 2,C01LAL01,INFORMATIQUE,13.35,14.02,nan
E45,UNIV. BATNA 2,C01TCL01,INFORMATIQUE,13.95,14.59,nan
E45,UNIV. BATNA 2,C02LAL01,MATHEMATIQUES,10.53,11.21,nan
E45,UNIV. BATNA 2,E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,9.57,7.87,10.09
E45,UNIV. BATNA 2,E03LAL01,GEOLOGIE,10.03,10.5,10.0
E45,UNIV. BATNA 2,H01LAL01,LANGUE FRANCAISE,10.11,9.63,9.21
E45,UNIV. BATNA 2,H03IAN05,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,",12.87,nan,nan
nan,nan,nan,ANGLAIS),nan,nan,nan
E45,UNIV. BATNA 2,H06LAL01,LANGUE ANGLAISE,12.13,12.94,13.84
