"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
E11,UNIV. JIJEL,D03TCL01,SCIENCES AGRONOMIQUES,9.39,nan,--,--
E11,UNIV. JIJEL,E03LAL01,GEOLOGIE,10.09,nan,10.71,10.42
E11,UNIV. JIJEL,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.23,10.00
E11,UNIV. JIJEL,G01LAL02,SCIENCES POLITIQUES,10.0,nan,10.70,10.10
E11,UNIV. JIJEL,G02LAL01,DROIT,10.0,nan,10.05,10.59
E11,UNIV. JIJEL,H01LAL01,LANGUE FRANCAISE,10.0,nan,9.60,9.71
E11,UNIV. JIJEL,H06LAL01,LANGUE ANGLAISE,11.79,nan,12.68,13.45
E11,UNIV. JIJEL,I17LAL02,SCIENCES HUMAINES,10.0,nan,10.01,nan
E11,UNIV. JIJEL,I19LAL02,SCIENCES SOCIALES,10.0,nan,10.72,nan
E11,UNIV. JIJEL,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",11.31,nan,nan,nan
E11,UNIV. JIJEL,L00LAL01,LANGUE ET LITTERATURE ARABES,10.06,nan,10.00,nan
E11,UNIV. JIJEL,N01FPN02,GESTION DES TECHNIQUES URBAINES (GENIE URBAIN),11.17,nan,nan,nan
E11,UNIV. JIJEL,N01FPN03,"GESTION DES TECHNIQUES URBAINES (GESTION DESVILLES)",10.46,nan,nan,nan
E11,UNIV. JIJEL,N05IAL01,ARCHITECTURE,8.69,nan,nan,nan
E07,UNIV. SETIF 1,A00LAL02,SCIENCES ET TECHNOLOGIES,8.04,nan,nan,nan
E07,UNIV. SETIF 1,A00TCL01,SCIENCES ET TECHNOLOGIES,12.62,nan,nan,nan
E07,UNIV. SETIF 1,A05TCL01,GENIE CIVIL,10.68,nan,nan,nan
E07,UNIV. SETIF 1,A08IAN02,GENIE DES PROCEDES,11.44,nan,nan,nan
E07,UNIV. SETIF 1,A08TCL01,GENIE DES PROCEDES,9.83,nan,nan,nan
E07,UNIV. SETIF 1,A11FPN01,OPTIQUE ET MECANIQUE DE PRECISION,14.98,nan,nan,nan
E07,UNIV. SETIF 1,A11FPN02,OPTIQUE ET MECANIQUE DE PRECISION,13.51,nan,nan,nan
E07,UNIV. SETIF 1,A11IAN03,OPTIQUE ET MECANIQUE DE PRECISION,12.95,nan,nan,nan
E07,UNIV. SETIF 1,A11LAN01,OPTIQUE ET MECANIQUE DE PRECISION,11.32,nan,nan,nan
