"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
U02,U.S.T.O. (ORAN),C01LAL01,INFORMATIQUE,12.67,nan,13.31,nan
U02,U.S.T.O. (ORAN),C01TCL03,INFORMATIQUE,14.42,nan,15.09,nan
U02,U.S.T.O. (ORAN),C02LAL01,MATHEMATIQUES,9.3,nan,8.17,nan
U02,U.S.T.O. (ORAN),D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.87,nan,14.31,--
U02,U.S.T.O. (ORAN),J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",12.61,nan,nan,nan
U02,U.S.T.O. (ORAN),N05IAL01,ARCHITECTURE,14.65,nan,nan,nan
U30,UNIV. ORAN 1,A00LAL02,SCIENCES ET TECHNOLOGIES,9.88,nan,nan,nan
U30,UNIV. ORAN 1,A08TCL01,GENIE DES PROCEDES,9.85,nan,nan,nan
U30,UNIV. ORAN 1,A22IAN01,GENIE BIOMEDICALE,14.53,nan,nan,nan
U30,UNIV. ORAN 1,B00LAL02,SCIENCES DE LA MATIERE,8.75,nan,nan,nan
U30,UNIV. ORAN 1,C01EPN02,INFORMATIQUE,13.97,nan,14.64,nan
U30,UNIV. ORAN 1,C01LAL02,INFORMATIQUE,11.25,nan,11.86,nan
U30,UNIV. ORAN 1,C01TCL02,INFORMATIQUE,13.1,nan,13.57,nan
U30,UNIV. ORAN 1,C02LAL02,MATHEMATIQUES,10.3,nan,7.85,nan
U30,UNIV. ORAN 1,CF0LAN02,INFORMATIQUE  + SCIENCES DE  GESTION,15.01,nan,--,nan
U30,UNIV. ORAN 1,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,9.75,nan,11.23,11.05
U30,UNIV. ORAN 1,D03FPN02,SCIENCES AGRONOMIQUES,11.79,nan,--,nan
U30,UNIV. ORAN 1,D03TCL01,SCIENCES AGRONOMIQUES,9.29,nan,--,10.20
U30,UNIV. ORAN 1,H03IAN02,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ANGLAIS)",13.17,nan,nan,nan
U30,UNIV. ORAN 1,H03IAN08,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ESPAGNOLE)",12.23,nan,nan,nan
U30,UNIV. ORAN 1,I17LAL01,SCIENCES HUMAINES,10.0,nan,10.04,nan
U30,UNIV. ORAN 1,I20LAL02,SCIENCES ISLAMIQUES,10.89,nan,11.67,nan
U30,UNIV. ORAN 1,K00LAL01,ARTS,10.0,nan,nan,nan
