"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
C35,UNIV. ALGER 1,P05LAN01,"PHARMACIE INDUSTRIE DES PRODUITSPHARMACEUTIQUES ET DE SANTE",15.87,16.42,nan,16.71
C35,UNIV. ALGER 1,P06LAN01,PHARMACIE AUXILIAIRES EN PHARMACIE,15.27,16.01,nan,16.03
C36,UNIV. ALGER 2,H01LAL01,LANGUE FRANCAISE,9.5,9.84,nan,9.52
C36,UNIV. ALGER 2,H02LAL01,LANGUE ESPAGNOLE,13.34,nan,nan,nan
C36,UNIV. ALGER 2,H03IAN01,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ANGLAIS)",14.43,nan,nan,nan
C36,UNIV. ALGER 2,H03IAN06,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ALLEMAND)",12.7,nan,nan,nan
C36,UNIV. ALGER 2,H03IAN07,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS,ESPAGNOLE)",13.44,nan,nan,nan
C36,UNIV. ALGER 2,H04LAL01,LANGUE ALLEMANDE,11.03,nan,nan,nan
C36,UNIV. ALGER 2,H05LAL01,LANGUE RUSSE,11.58,12.4,nan,nan
C36,UNIV. ALGER 2,H06LAL01,LANGUE ANGLAISE,12.68,13.54,nan,14.48
C36,UNIV. ALGER 2,H07LAL01,LANGUE ITALIENNE,8.85,nan,nan,nan
C36,UNIV. ALGER 2,H08LAL01,LANGUE TURQUE,11.41,12.22,nan,nan
C36,UNIV. ALGER 2,I12LAN01,SCIENCES HUMAINES ARCHEOLOGIE,11.0,11.0,nan,nan
C36,UNIV. ALGER 2,I17LAL02,SCIENCES HUMAINES,10.0,10.0,nan,nan
C36,UNIV. ALGER 2,I19LAL02,SCIENCES SOCIALES,10.0,10.0,nan,nan
C36,UNIV. ALGER 2,K00LAL01,ARTS,10.0,nan,nan,nan
C36,UNIV. ALGER 2,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.0,nan,nan
C37,UNIV. ALGER 3,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.0,nan,10.0
C37,UNIV. ALGER 3,G01LAL01,SCIENCES POLITIQUES,10.54,11.27,nan,12.06
C37,UNIV. ALGER 3,I03LAL01,"SCIENCES HUMAINES (SCIENCES DE L INFORMATION ETDE LA COMMUNICATION)",10.8,11.56,nan,nan
