"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers TIARET",14.46,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers DJELFA",14.18,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers MEDEA",15.09,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers TISSEMSILT",15.49,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers AIN-DEFLA",14.76,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers GHARDAIA",13.55,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,J00PPN01,"EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pourbacheliers EL MENIAA",13.97,nan,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersLAGHOUAT",14.23,14.22,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersTIARET",14.00,14.66,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersDJELFA",14.31,15.04,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersMEDEA",14.20,14.90,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersGHARDAIA",--,--,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PML01,"LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliersEL MENIAA",--,14.00,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PPL01,ARABE (P.E.P) -- pour bacheliers LAGHOUAT,13.02,13.00,nan,nan
C42,ECOLE NORMALE SUPERIEURE DE LAGHOUAT,L00PPL01,ARABE (P.E.P) -- pour bacheliers TIARET,13.41,14.09,nan,nan
