Code,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
Etb,nan,nan,nan,nan,nan,nan
C32,UNIV. GHARDAIA,H01LAL02,LANGUE FRANCAISE,11.6,11.73,11.25
C32,UNIV. GHARDAIA,H06LAL01,LANGUE ANGLAISE,9.93,9.27,8.8
C32,UNIV. GHARDAIA,I17LAL02,SCIENCES HUMAINES,10.08,10.03,nan
C32,UNIV. GHARDAIA,I19LAL02,SCIENCES SOCIALES,10.0,10.01,nan
C32,UNIV. GHARDAIA,I20LAL02,SCIENCES ISLAMIQUES,10.02,10.33,nan
C32,UNIV. GHARDAIA,L00LAL02,LANGUE ET LITTERATURE ARABES,10.04,10.06,nan
U23,UNIV. RELIZANE,A00LAL05,SCIENCES ET TECHNOLOGIES,9.82,nan,nan
U23,UNIV. RELIZANE,A05TCL01,GENIE CIVIL,9.54,nan,nan
U23,UNIV. RELIZANE,A08TCL01,GENIE DES PROCEDES,10.05,nan,nan
U23,UNIV. RELIZANE,A16TCL01,ELECTROTECHNIQUE,10.33,nan,nan
U23,UNIV. RELIZANE,A19TCL01,GENIE MECANIQUE,9.96,nan,nan
U23,UNIV. RELIZANE,B00LAL01,SCIENCES DE LA MATIERE,8.09,nan,nan
U23,UNIV. RELIZANE,C01LAL01,INFORMATIQUE,10.61,10.84,nan
U23,UNIV. RELIZANE,C02LAL01,MATHEMATIQUES,9.82,8.62,nan
U23,UNIV. RELIZANE,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,10.17,10.79,12.04
U23,UNIV. RELIZANE,D03TCL01,SCIENCES AGRONOMIQUES,9.47,--,10.34
U23,UNIV. RELIZANE,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET",10.0,10.00,10.01
nan,nan,nan,COMMERCIALES,nan,nan,nan
U23,UNIV. RELIZANE,G01LAL02,SCIENCES POLITIQUES,10.0,10.57,10.51
U23,UNIV. RELIZANE,G02LAL01,DROIT,10.6,11.33,13.34
U23,UNIV. RELIZANE,H01LAL01,LANGUE FRANCAISE,9.93,10.63,10.01
U23,UNIV. RELIZANE,H06LAL01,LANGUE ANGLAISE,12.01,12.87,13.71
U23,UNIV. RELIZANE,I17LAL01,SCIENCES HUMAINES,10.0,10.14,nan
U23,UNIV. RELIZANE,I19LAL01,SCIENCES SOCIALES,10.15,10.93,nan
U23,UNIV. RELIZANE,I20LAL02,SCIENCES ISLAMIQUES,10.0,10.01,nan
