"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Unnamed: 0,Min2,Min3
C16,UNIV. CHLEF,A00LAL04,SCIENCES ET TECHNOLOGIES,9.75,nan,nan,nan
C16,UNIV. CHLEF,A05TCL01,GENIE CIVIL,11.86,nan,nan,nan
C16,UNIV. CHLEF,A08TCL01,GENIE DES PROCEDES,9.52,nan,nan,nan
C16,UNIV. CHLEF,A16TCL01,ELECTROTECHNIQUE,10.18,nan,nan,nan
C16,UNIV. CHLEF,A19TCL01,GENIE MECANIQUE,11.95,nan,nan,nan
C16,UNIV. CHLEF,B00LAL03,SCIENCES DE LA MATIERE,7.75,nan,nan,nan
C16,UNIV. CHLEF,C01LAL03,INFORMATIQUE,13.26,nan,13.85,nan
C16,UNIV. CHLEF,C02LAL03,MATHEMATIQUES,8.65,nan,8.55,nan
C16,UNIV. CHLEF,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,11.93,nan,12.95,14.03
C16,UNIV. CHLEF,D03TCL01,SCIENCES AGRONOMIQUES,10.2,nan,--,10.02
C16,UNIV. CHLEF,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,9.88,nan,--,10.08
C16,UNIV. CHLEF,E03LAL02,GEOLOGIE,9.7,nan,10.71,10.24
C16,UNIV. CHLEF,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,nan,10.27,10.29
C16,UNIV. CHLEF,G01LAL03,SCIENCES POLITIQUES,10.0,nan,10.12,10.11
C16,UNIV. CHLEF,G02LAL01,DROIT,10.21,nan,10.88,11.66
C16,UNIV. CHLEF,H01LAL03,LANGUE FRANCAISE,11.47,nan,12.37,13.1
C16,UNIV. CHLEF,H06LAL01,LANGUE ANGLAISE,12.39,nan,13.21,14.12
C16,UNIV. CHLEF,I17LAL02,SCIENCES HUMAINES,10.0,nan,10.02,nan
C16,UNIV. CHLEF,I19LAL03,SCIENCES SOCIALES,10.0,nan,10.00,nan
C16,UNIV. CHLEF,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.0,nan,nan,nan
C16,UNIV. CHLEF,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,nan,10.00,nan
C16,UNIV. CHLEF,N01LAL01,GESTION DES TECHNIQUES URBAINES,9.93,nan,nan,nan
C16,UNIV. CHLEF,N05IAL02,ARCHITECTURE,11.34,nan,nan,nan
