"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C27,UNIV. BOUMERDES,B00LAL03,SCIENCES DE LA MATIERE,8.12,nan,nan
C27,UNIV. BOUMERDES,C01FPN01,INFORMATIQUE,15.29,16.03,nan
C27,UNIV. BOUMERDES,C01LAL03,INFORMATIQUE,13.52,14.19,nan
C27,UNIV. BOUMERDES,C01TCL02,INFORMATIQUE,13.75,14.43,nan
C27,UNIV. BOUMERDES,C02LAL03,MATHEMATIQUES,9.21,7.91,nan
C27,UNIV. BOUMERDES,C03FPN01,MATHEMATIQUES APPLIQUEES,13.53,14.22,nan
C27,UNIV. BOUMERDES,D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,9.0,7.50,10.00
C27,UNIV. BOUMERDES,D03TCL01,SCIENCES AGRONOMIQUES,9.72,12.45,10.16
C27,UNIV. BOUMERDES,F00LAL04,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.19,10.00
C27,UNIV. BOUMERDES,G01LAL01,SCIENCES POLITIQUES,10.0,--,10.03
C27,UNIV. BOUMERDES,G02LAL01,DROIT,10.0,10.15,10.02
C27,UNIV. BOUMERDES,H01LAL01,LANGUE FRANCAISE,9.87,8.95,9.27
C27,UNIV. BOUMERDES,H06LAL01,LANGUE ANGLAISE,12.2,13.01,13.97
C27,UNIV. BOUMERDES,J00LAL01,"SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ETSPORTIVES",10.52,nan,nan
C27,UNIV. BOUMERDES,L00LAL02,LANGUE ET LITTERATURE ARABES,10.0,10.04,nan
W80,UNIV. BOUMERDES I.S.T.A,A11TPN03,OPTIQUE ET MECANIQUE DE PRECISION,13.29,13.95,nan
E02,UNIV. EL TARF,A00LAL03,SCIENCES ET TECHNOLOGIES,9.13,nan,nan
E02,UNIV. EL TARF,B00LAL02,SCIENCES DE LA MATIERE,8.69,nan,nan
E02,UNIV. EL TARF,C01LAL03,INFORMATIQUE,10.81,10.69,nan
E02,UNIV. EL TARF,C02LAL03,MATHEMATIQUES,11.73,12.53,nan
E02,UNIV. EL TARF,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,11.43,12.56,--
E02,UNIV. EL TARF,D03TCL01,SCIENCES AGRONOMIQUES,10.02,--,10.31
E02,UNIV. EL TARF,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,--,10.00
