"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers MOSTAGANEM",16.21,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers ORAN",15.21,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers AIN-TEMOUCHENT",15.25,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,"SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pourbacheliers RELIZANE",16.35,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TLEMCEN,15.11,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers MOSTAGANEM,16.26,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers ORAN,15.62,16.37,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,"MATHEMATIQUES (P.E.M) -- pour bacheliers AIN-TEMOUCHENT",15.49,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers RELIZANE,16.57,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers TLEMCEN,14.31,16.06,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers SAIDA,14.2,14.15,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,"LANGUE FRANCAISE (P.E.S) -- pour bacheliers SIDIBEL-ABBES",14.48,14.01,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers ORAN,15.07,15.86,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,"LANGUE FRANCAISE (P.E.S) -- pour bacheliers AIN-TEMOUCHENT",15.3,15.72,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers CHLEF,15.61,--,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers TLEMCEN,13.98,14.74,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers SAIDA,14.34,14.80,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers SIDIBEL-ABBES,14.13,14.88,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MOSTAGANEM,15.11,16.03,nan,nan
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MASCARA,14.62,15.32,nan,nan
