"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
U10,UNIV. TIARET,H06LAL01,LANGUE ANGLAISE,11.4,12.15,13.01
U10,UNIV. TIARET,K00LAL01,ARTS,10.02,nan,nan
U32,UNIV. TIARET (+ A. SOUGHEUR),B00LAL01,SCIENCES DE LA MATIERE,8.39,nan,nan
U46,"UNIV. TIARET (+ A.SOUGHEUR+A. KSARCHELLALA)",G02LAL01,DROIT,10.0,10.00,10.06
U14,UNIV. TIARET (+A. KSAR CHELLALA),D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.9,11.95,13.19
U14,UNIV. TIARET (+A. KSAR CHELLALA),E03LAL01,GEOLOGIE,10.41,8.57,--
U14,UNIV. TIARET (+A. KSAR CHELLALA),F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,11.38,10.00
U14,UNIV. TIARET (+A. KSAR CHELLALA),I17LAL01,SCIENCES HUMAINES,10.0,10.03,nan
U14,UNIV. TIARET (+A. KSAR CHELLALA),I19LAL01,SCIENCES SOCIALES,10.0,10.05,nan
U14,UNIV. TIARET (+A. KSAR CHELLALA),L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.03,nan
C14,UNIV. TIZI OUZOU,A00LAL04,SCIENCES ET TECHNOLOGIES,9.97,nan,nan
C14,UNIV. TIZI OUZOU,A00TCL02,SCIENCES ET TECHNOLOGIES,12.53,nan,nan
C14,UNIV. TIZI OUZOU,A05TCL01,GENIE CIVIL,12.45,nan,nan
C14,UNIV. TIZI OUZOU,A16TCL01,ELECTROTECHNIQUE,9.7,nan,nan
C14,UNIV. TIZI OUZOU,A19TCL01,GENIE MECANIQUE,10.62,nan,nan
C14,UNIV. TIZI OUZOU,B00LAL03,SCIENCES DE LA MATIERE,7.69,nan,nan
C14,UNIV. TIZI OUZOU,C01LAL03,INFORMATIQUE,13.85,14.51,nan
C14,UNIV. TIZI OUZOU,C01TCL02,INFORMATIQUE,14.92,15.71,nan
C14,UNIV. TIZI OUZOU,C02LAL03,MATHEMATIQUES,8.39,7.02,nan
C14,UNIV. TIZI OUZOU,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,9.0,8.99,10.09
C14,UNIV. TIZI OUZOU,D03TCL01,SCIENCES AGRONOMIQUES,9.35,--,10.00
C14,UNIV. TIZI OUZOU,E03LAL01,GEOLOGIE,10.15,9.91,10.06
C14,UNIV. TIZI OUZOU,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ETCOMMERCIALES",10.0,10.02,10.00
